Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-36.527298,-11.527298000000002
200000000.0,-34.894985,-9.894984999999998
300000000.0,-36.49679,-11.496789999999997
400000000.0,-37.54703,-12.54703
500000000.0,-39.38453,-14.384529999999998
600000000.0,-40.922585,-15.922584999999998
700000000.0,-42.028625,-17.028624999999998
800000000.0,-47.766716,-22.766716000000002
900000000.0,-50.453106,-25.453106
1000000000.0,-54.132313,-29.132313000000003
1100000000.0,-56.445793,-31.445793000000002
1200000000.0,-61.69892,-36.69892
1300000000.0,-67.20445,-42.204449999999994
1400000000.0,-67.577156,-42.577156
1500000000.0,-67.13196,-42.13196000000001
1600000000.0,-66.33734,-41.33734
1700000000.0,-67.19657,-42.196569999999994
1800000000.0,-67.3235,-42.323499999999996
1900000000.0,-67.63067,-42.630669999999995
2000000000.0,-67.514565,-42.514565000000005
2100000000.0,-67.65412,-42.654120000000006
2200000000.0,-67.62705,-42.62705
2300000000.0,-67.53533,-42.53533
2400000000.0,-66.48349,-41.48349
2500000000.0,-68.048294,-43.048294
2600000000.0,-67.81078,-42.810779999999994
2700000000.0,-67.848816,-42.848816
2800000000.0,-67.25338,-42.25338000000001
2900000000.0,-67.77497,-42.774969999999996
3000000000.0,-67.40007,-42.40007
3100000000.0,-67.412766,-42.412766000000005
3200000000.0,-67.873314,-42.87331399999999
3300000000.0,-67.743484,-42.743483999999995
3400000000.0,-67.67539,-42.67538999999999
3500000000.0,-67.30321,-42.30321000000001
3600000000.0,-67.53059,-42.530590000000004
3700000000.0,-67.46196,-42.461960000000005
3800000000.0,-67.43111,-42.431110000000004
3900000000.0,-67.11526,-42.115260000000006
4000000000.0,-67.8468,-42.8468
4100000000.0,-67.44081,-42.44081
4200000000.0,-67.32431,-42.32431
4300000000.0,-67.52547,-42.52547
4400000000.0,-67.54938,-42.54938
4500000000.0,-67.02791,-42.027910000000006
4600000000.0,-67.33857,-42.338570000000004
4700000000.0,-65.61928,-40.61928
4800000000.0,-63.17183,-38.17183
4900000000.0,-65.2083,-40.208299999999994
5000000000.0,-66.49585,-41.495850000000004
5100000000.0,-67.1218,-42.12179999999999
5200000000.0,-67.83891,-42.83891
5300000000.0,-67.787865,-42.787865
5400000000.0,-67.931076,-42.931076000000004
5500000000.0,-67.99609,-42.996089999999995
5600000000.0,-67.89165,-42.89165
5700000000.0,-67.45309,-42.45309
5800000000.0,-67.68418,-42.68418
5900000000.0,-67.765114,-42.765114

Promedio,-62.732484254237285,-37.732484254237285
Desviación,9.858133084835027,9.858133084835027
Varianza,97.18278791831895,97.18278791831895
