Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-25.490551,-0.49055099999999996
200000000.0,-24.04729,0.9527099999999997
300000000.0,-24.62136,0.37864000000000075
400000000.0,-25.106846,-0.10684600000000088
500000000.0,-25.094519,-0.09451899999999824
600000000.0,-24.959805,0.04019500000000065
700000000.0,-24.726028,0.27397200000000055
800000000.0,-25.618412,-0.6184119999999993
900000000.0,-25.034103,-0.03410300000000177
1000000000.0,-25.533915,-0.5339150000000004
1100000000.0,-25.728336,-0.7283359999999988
1200000000.0,-25.225885,-0.22588500000000167
1300000000.0,-25.092524,-0.09252400000000094
1400000000.0,-27.03969,-2.0396900000000002
1500000000.0,-26.873734,-1.873733999999999
1600000000.0,-27.526579,-2.5265790000000017
1700000000.0,-27.722878,-2.7228780000000015
1800000000.0,-29.92567,-4.92567
1900000000.0,-29.450851,-4.450851
2000000000.0,-31.58682,-6.5868199999999995
2100000000.0,-35.443836,-10.443835999999997
2200000000.0,-24.82447,0.1755299999999984
2300000000.0,-23.5654,1.4345999999999997
2400000000.0,-20.67605,4.32395
2500000000.0,-23.32066,1.6793399999999998
2600000000.0,-24.809929,0.19007099999999966
2700000000.0,-26.277317,-1.277317
2800000000.0,-36.69209,-11.69209
2900000000.0,-39.22294,-14.222940000000001
3000000000.0,-40.18183,-15.181829999999998
3100000000.0,-34.65156,-9.651560000000003
3200000000.0,-40.608368,-15.608367999999999
3300000000.0,-36.262604,-11.262604000000003
3400000000.0,-33.766296,-8.766295999999997
3500000000.0,-35.619312,-10.619312
3600000000.0,-39.29831,-14.29831
3700000000.0,-36.323006,-11.323006
3800000000.0,-36.80905,-11.80905
3900000000.0,-39.417435,-14.417434999999998
4000000000.0,-40.971546,-15.971545999999996
4100000000.0,-42.233616,-17.233615999999998
4200000000.0,-44.062607,-19.062607
4300000000.0,-46.20478,-21.20478
4400000000.0,-42.24335,-17.24335
4500000000.0,-42.457714,-17.457714000000003
4600000000.0,-44.214783,-19.214782999999997
4700000000.0,-46.618805,-21.618805000000002
4800000000.0,-48.791164,-23.791164000000002
4900000000.0,-51.957397,-26.957397
5000000000.0,-47.108532,-22.108531999999997
5100000000.0,-48.1411,-23.1411
5200000000.0,-55.588913,-30.588912999999998
5300000000.0,-55.595203,-30.595202999999998
5400000000.0,-61.243244,-36.243244
5500000000.0,-64.7998,-39.799800000000005
5600000000.0,-65.17765,-40.17765
5700000000.0,-66.44005,-41.44005
5800000000.0,-65.79745,-40.79745
5900000000.0,-67.31769,-42.31769

Promedio,-37.307485644067796,-12.307485644067796
Desviación,12.946131639005273,12.946131639005273
Varianza,167.60232441445334,167.60232441445334
