Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-52.571404,-27.571404
200000000.0,-45.578857,-20.578857
300000000.0,-53.62987,-28.629869999999997
400000000.0,-51.71539,-26.71539
500000000.0,-54.528423,-29.528422999999997
600000000.0,-59.182198,-34.182198
700000000.0,-61.070408,-36.070408
800000000.0,-62.857594,-37.857594
900000000.0,-63.88649,-38.88649
1000000000.0,-65.45073,-40.45072999999999
1100000000.0,-67.93634,-42.93634
1200000000.0,-67.914055,-42.914055000000005
1300000000.0,-70.50493,-45.50493
1400000000.0,-71.600204,-46.600204000000005
1500000000.0,-72.31107,-47.31107
1600000000.0,-74.28045,-49.28045
1700000000.0,-77.13281,-52.132810000000006
1800000000.0,-77.866936,-52.866935999999995
1900000000.0,-79.52321,-54.523210000000006
2000000000.0,-79.41709,-54.41709
2100000000.0,-79.92317,-54.92317
2200000000.0,-78.33698,-53.33698
2300000000.0,-77.991135,-52.991135
2400000000.0,-77.26369,-52.26369
2500000000.0,-76.28013,-51.28013
2600000000.0,-78.531906,-53.531906000000006
2700000000.0,-79.74932,-54.74932
2800000000.0,-80.483215,-55.483215
2900000000.0,-79.80409,-54.80409
3000000000.0,-79.39767,-54.397670000000005
3100000000.0,-78.21789,-53.21789
3200000000.0,-78.32931,-53.32931000000001
3300000000.0,-78.438446,-53.438446
3400000000.0,-80.14752,-55.14752
3500000000.0,-79.11983,-54.11982999999999
3600000000.0,-78.28729,-53.28729
3700000000.0,-79.511925,-54.511925000000005
3800000000.0,-80.23982,-55.239819999999995
3900000000.0,-80.278854,-55.278853999999995
4000000000.0,-78.94496,-53.944959999999995
4100000000.0,-80.08919,-55.08919
4200000000.0,-78.20911,-53.209109999999995
4300000000.0,-79.32023,-54.320229999999995
4400000000.0,-78.163,-53.163
4500000000.0,-79.24857,-54.24857
4600000000.0,-78.632324,-53.632324
4700000000.0,-78.908,-53.908
4800000000.0,-78.79061,-53.79061
4900000000.0,-78.31645,-53.31645
5000000000.0,-78.346756,-53.346756
5100000000.0,-77.85401,-52.85401
5200000000.0,-79.292404,-54.292404000000005
5300000000.0,-78.39655,-53.396550000000005
5400000000.0,-79.09114,-54.091139999999996
5500000000.0,-78.74459,-53.74459
5600000000.0,-78.331665,-53.331665
5700000000.0,-78.76302,-53.76302
5800000000.0,-78.99679,-53.996790000000004
5900000000.0,-79.50748,-54.50748

Promedio,-74.32605930508474,-49.32605930508475
Desviación,8.610465723389954,8.610465723389954
Varianza,74.14011997367327,74.14011997367327
