Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-32.78388,-7.7838800000000035
200000000.0,-29.079094,-4.079094000000001
300000000.0,-29.57731,-4.577310000000001
400000000.0,-30.238398,-5.238398
500000000.0,-31.011883,-6.011883000000001
600000000.0,-30.044323,-5.044322999999999
700000000.0,-30.761301,-5.761301
800000000.0,-31.645226,-6.645226000000001
900000000.0,-31.48096,-6.48096
1000000000.0,-32.175655,-7.175654999999999
1100000000.0,-32.076027,-7.076027000000003
1200000000.0,-31.39032,-6.390319999999999
1300000000.0,-30.781424,-5.781424000000001
1400000000.0,-32.984966,-7.984966
1500000000.0,-32.448803,-7.448802999999998
1600000000.0,-32.75953,-7.759529999999998
1700000000.0,-33.084698,-8.084698000000003
1800000000.0,-33.42253,-8.422530000000002
1900000000.0,-33.29833,-8.29833
2000000000.0,-33.842396,-8.842396
2100000000.0,-34.420326,-9.420326000000003
2200000000.0,-29.609385,-4.609385
2300000000.0,-27.265253,-2.2652530000000013
2400000000.0,-25.006752,-0.006751999999998759
2500000000.0,-25.065533,-0.06553299999999851
2600000000.0,-26.502512,-1.5025119999999994
2700000000.0,-32.14052,-7.140520000000002
2800000000.0,-37.627865,-12.627865
2900000000.0,-38.48989,-13.489890000000003
3000000000.0,-37.082207,-12.082206999999997
3100000000.0,-34.85819,-9.85819
3200000000.0,-38.915543,-13.915543
3300000000.0,-36.82421,-11.82421
3400000000.0,-35.357403,-10.357402999999998
3500000000.0,-34.46741,-9.467410000000001
3600000000.0,-35.509487,-10.509487
3700000000.0,-35.491425,-10.491425
3800000000.0,-37.43549,-12.435490000000001
3900000000.0,-36.949913,-11.949913000000002
4000000000.0,-37.21908,-12.219079999999998
4100000000.0,-37.697987,-12.697986999999998
4200000000.0,-40.35472,-15.35472
4300000000.0,-42.33431,-17.334310000000002
4400000000.0,-42.51042,-17.510420000000003
4500000000.0,-42.704487,-17.704487
4600000000.0,-42.12301,-17.12301
4700000000.0,-42.75675,-17.756749999999997
4800000000.0,-40.22997,-15.229970000000002
4900000000.0,-40.746536,-15.746535999999999
5000000000.0,-40.893044,-15.893044000000003
5100000000.0,-43.344086,-18.344085999999997
5200000000.0,-44.5196,-19.519599999999997
5300000000.0,-43.63045,-18.630450000000003
5400000000.0,-51.933647,-26.933647
5500000000.0,-60.400448,-35.400448
5600000000.0,-60.53404,-35.53404
5700000000.0,-61.250248,-36.250248
5800000000.0,-59.975487,-34.975487
5900000000.0,-63.18899,-38.18899

Promedio,-37.49582505084746,-12.495825050847458
Desviación,8.871398089336598,8.871398089336598
Varianza,78.70170405948505,78.70170405948505
