Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-24.906004,0.09399600000000063
200000000.0,-23.984318,1.0156820000000018
300000000.0,-24.427755,0.5722449999999988
400000000.0,-24.72541,0.2745899999999999
500000000.0,-24.60533,0.3946700000000014
600000000.0,-24.611471,0.38852899999999835
700000000.0,-24.525042,0.4749580000000009
800000000.0,-25.150185,-0.15018500000000046
900000000.0,-24.868095,0.13190499999999972
1000000000.0,-25.281368,-0.2813680000000005
1100000000.0,-25.294361,-0.29436099999999854
1200000000.0,-25.003265,-0.003264999999998963
1300000000.0,-25.01255,-0.01255000000000095
1400000000.0,-26.399609,-1.3996090000000017
1500000000.0,-26.262844,-1.2628440000000012
1600000000.0,-27.41747,-2.4174700000000016
1700000000.0,-28.478983,-3.4789829999999995
1800000000.0,-31.788647,-6.788647000000001
1900000000.0,-30.854218,-5.8542179999999995
2000000000.0,-32.81187,-7.811869999999999
2100000000.0,-34.28202,-9.282020000000003
2200000000.0,-24.870699,0.12930100000000166
2300000000.0,-24.070026,0.9299740000000014
2400000000.0,-21.269974,3.7300259999999987
2500000000.0,-23.664158,1.3358419999999995
2600000000.0,-24.912369,0.08763099999999824
2700000000.0,-27.737732,-2.737732000000001
2800000000.0,-35.32556,-10.325560000000003
2900000000.0,-36.58241,-11.582410000000003
3000000000.0,-37.137905,-12.137905000000003
3100000000.0,-34.12841,-9.128410000000002
3200000000.0,-36.46797,-11.467970000000001
3300000000.0,-34.971367,-9.971367
3400000000.0,-33.932358,-8.932358
3500000000.0,-34.2775,-9.277500000000003
3600000000.0,-35.742916,-10.742916000000001
3700000000.0,-34.762577,-9.762577
3800000000.0,-34.751896,-9.751896000000002
3900000000.0,-34.930775,-9.930774999999997
4000000000.0,-34.78966,-9.789659999999998
4100000000.0,-35.449986,-10.449986000000003
4200000000.0,-36.170406,-11.170406
4300000000.0,-37.769073,-12.769072999999999
4400000000.0,-36.48343,-11.483429999999998
4500000000.0,-38.396782,-13.396782000000002
4600000000.0,-38.559013,-13.559013
4700000000.0,-38.929535,-13.929535000000001
4800000000.0,-41.62603,-16.62603
4900000000.0,-43.849396,-18.849396
5000000000.0,-40.627296,-15.627296000000001
5100000000.0,-42.070713,-17.070712999999998
5200000000.0,-47.143578,-22.143577999999998
5300000000.0,-46.945694,-21.945694000000003
5400000000.0,-53.152943,-28.152943
5500000000.0,-57.70577,-32.70577
5600000000.0,-57.73426,-32.73426
5700000000.0,-58.494682,-33.494682
5800000000.0,-58.89753,-33.89753
5900000000.0,-59.8667,-34.8667

Promedio,-34.489659220338986,-9.489659220338984
Desviación,10.064707086497421,10.064707086497421
Varianza,101.2983287369914,101.2983287369914
