Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-25.205807,-0.20580700000000007
200000000.0,-23.795824,1.2041760000000004
300000000.0,-23.822744,1.1772559999999999
400000000.0,-25.894512,-0.8945119999999989
500000000.0,-23.974115,1.0258849999999988
600000000.0,-24.068613,0.9313870000000009
700000000.0,-24.273756,0.7262440000000012
800000000.0,-26.2336,-1.2335999999999991
900000000.0,-25.129852,-0.12985199999999963
1000000000.0,-26.080713,-1.0807129999999994
1100000000.0,-26.058416,-1.0584160000000011
1200000000.0,-27.619345,-2.619344999999999
1300000000.0,-28.033447,-3.033446999999999
1400000000.0,-30.118107,-5.118106999999998
1500000000.0,-32.54211,-7.542110000000001
1600000000.0,-35.38787,-10.38787
1700000000.0,-36.615566,-11.615566000000001
1800000000.0,-40.188225,-15.188225000000003
1900000000.0,-35.59521,-10.595210000000002
2000000000.0,-36.708794,-11.708793999999997
2100000000.0,-41.307304,-16.307304000000002
2200000000.0,-36.721157,-11.721156999999998
2300000000.0,-33.74088,-8.740879999999997
2400000000.0,-33.84203,-8.842030000000001
2500000000.0,-39.106453,-14.106453000000002
2600000000.0,-41.806488,-16.806488
2700000000.0,-41.966385,-16.966385000000002
2800000000.0,-57.537598,-32.537598
2900000000.0,-61.018562,-36.018562
3000000000.0,-59.220234,-34.220234
3100000000.0,-57.67453,-32.67453
3200000000.0,-61.782078,-36.782078
3300000000.0,-54.75289,-29.75289
3400000000.0,-50.276474,-25.276474
3500000000.0,-54.14768,-29.14768
3600000000.0,-52.723373,-27.723373000000002
3700000000.0,-47.841625,-22.841625
3800000000.0,-45.45588,-20.45588
3900000000.0,-55.0898,-30.089799999999997
4000000000.0,-60.081577,-35.081577
4100000000.0,-56.723637,-31.723636999999997
4200000000.0,-53.31554,-28.31554
4300000000.0,-52.671356,-27.671356000000003
4400000000.0,-57.465652,-32.465652
4500000000.0,-51.77576,-26.77576
4600000000.0,-51.415245,-26.415245
4700000000.0,-64.55455,-39.554550000000006
4800000000.0,-67.31568,-42.31568
4900000000.0,-68.306915,-43.306915000000004
5000000000.0,-65.42485,-40.424850000000006
5100000000.0,-66.724815,-41.72481500000001
5200000000.0,-62.86847,-37.86847
5300000000.0,-64.54734,-39.547340000000005
5400000000.0,-70.50534,-45.505340000000004
5500000000.0,-72.0081,-47.0081
5600000000.0,-71.203674,-46.20367400000001
5700000000.0,-72.10417,-47.104169999999996
5800000000.0,-71.930176,-46.930176
5900000000.0,-72.01075,-47.01075

Promedio,-47.05612955932204,-22.056129559322034
Desviación,16.112109007788156,16.112109007788153
Varianza,259.6000566788482,259.60005667884815
