Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-30.693281,-5.693280999999999
200000000.0,-30.158749,-5.158749
300000000.0,-31.364895,-6.364895000000001
400000000.0,-33.38237,-8.382370000000002
500000000.0,-35.069637,-10.069637
600000000.0,-37.441677,-12.441676999999999
700000000.0,-41.194847,-16.194847000000003
800000000.0,-45.178963,-20.178963000000003
900000000.0,-50.60776,-25.60776
1000000000.0,-58.325706,-33.325706
1100000000.0,-66.32863,-41.328630000000004
1200000000.0,-61.614857,-36.614857
1300000000.0,-59.684654,-34.684654
1400000000.0,-62.79696,-37.79696
1500000000.0,-63.858345,-38.858345
1600000000.0,-65.18561,-40.18561
1700000000.0,-58.468773,-33.468773
1800000000.0,-59.444664,-34.444664
1900000000.0,-58.49226,-33.49226
2000000000.0,-61.06595,-36.06595
2100000000.0,-63.803352,-38.803352
2200000000.0,-66.52465,-41.524649999999994
2300000000.0,-66.08893,-41.088930000000005
2400000000.0,-65.75362,-40.75362
2500000000.0,-65.90749,-40.907489999999996
2600000000.0,-65.850746,-40.850746
2700000000.0,-68.03099,-43.03099
2800000000.0,-67.90107,-42.901070000000004
2900000000.0,-67.89095,-42.890950000000004
3000000000.0,-67.605736,-42.60573599999999
3100000000.0,-66.4382,-41.438199999999995
3200000000.0,-67.79351,-42.79351
3300000000.0,-67.21002,-42.21002
3400000000.0,-66.303055,-41.303055
3500000000.0,-66.04743,-41.047430000000006
3600000000.0,-65.85132,-40.85132
3700000000.0,-66.79921,-41.79921
3800000000.0,-66.86067,-41.86067
3900000000.0,-66.51732,-41.51732
4000000000.0,-66.199326,-41.199326
4100000000.0,-67.10272,-42.102720000000005
4200000000.0,-67.24337,-42.24337
4300000000.0,-68.48594,-43.48594
4400000000.0,-68.95185,-43.95184999999999
4500000000.0,-68.86072,-43.86072
4600000000.0,-67.976524,-42.976524
4700000000.0,-67.74474,-42.74473999999999
4800000000.0,-68.67268,-43.67268
4900000000.0,-69.037224,-44.037223999999995
5000000000.0,-68.174355,-43.174355000000006
5100000000.0,-68.63603,-43.636030000000005
5200000000.0,-68.45016,-43.45016
5300000000.0,-68.24968,-43.24968

Promedio,-60.93060709433963,-35.93060709433962
Desviación,11.411942960865678,11.411942960865678
Varianza,130.23244214205172,130.2324421420517
