Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-31.244028,-6.244028
200000000.0,-29.0695,-4.0695000000000014
300000000.0,-29.986126,-4.986125999999999
400000000.0,-31.068316,-6.068315999999999
500000000.0,-31.693228,-6.693228000000001
600000000.0,-32.97757,-7.97757
700000000.0,-34.69743,-9.697429999999997
800000000.0,-36.956078,-11.956077999999998
900000000.0,-40.150467,-15.150466999999999
1000000000.0,-44.012737,-19.012737
1100000000.0,-48.01922,-23.019219999999997
1200000000.0,-50.815712,-25.815711999999998
1300000000.0,-56.694942,-31.694941999999998
1400000000.0,-65.06365,-40.063649999999996
1500000000.0,-62.985977,-37.985977
1600000000.0,-61.02879,-36.02879
1700000000.0,-63.615803,-38.615803
1800000000.0,-65.52457,-40.52457
1900000000.0,-65.959175,-40.959175
2000000000.0,-66.25796,-41.25796
2100000000.0,-69.05065,-44.050650000000005
2200000000.0,-66.008385,-41.008385000000004
2300000000.0,-65.37981,-40.379810000000006
2400000000.0,-65.487,-40.486999999999995
2500000000.0,-66.24538,-41.24538
2600000000.0,-66.002556,-41.002556
2700000000.0,-66.27608,-41.27607999999999
2800000000.0,-73.83166,-48.83166
2900000000.0,-73.51142,-48.51142
3000000000.0,-70.60555,-45.605549999999994
3100000000.0,-69.7969,-44.796899999999994
3200000000.0,-73.5903,-48.5903
3300000000.0,-71.49379,-46.493790000000004
3400000000.0,-71.72577,-46.72577
3500000000.0,-70.74575,-45.74575
3600000000.0,-71.31114,-46.311139999999995
3700000000.0,-70.87728,-45.87728
3800000000.0,-71.61159,-46.61159000000001
3900000000.0,-70.69691,-45.69691
4000000000.0,-71.83888,-46.83888
4100000000.0,-72.6697,-47.669700000000006
4200000000.0,-73.1046,-48.104600000000005
4300000000.0,-73.72665,-48.72665000000001
4400000000.0,-74.93784,-49.937839999999994
4500000000.0,-75.09505,-50.09505
4600000000.0,-73.62544,-48.62544
4700000000.0,-73.53052,-48.530519999999996
4800000000.0,-74.38415,-49.384150000000005
4900000000.0,-74.93133,-49.93133
5000000000.0,-75.394585,-50.394585000000006
5100000000.0,-75.25233,-50.25233
5200000000.0,-74.821945,-49.821945
5300000000.0,-75.11885,-50.118849999999995
5400000000.0,-76.07515,-51.075149999999994
5500000000.0,-75.59262,-50.59262
5600000000.0,-76.616295,-51.616294999999994
5700000000.0,-76.484085,-51.48408499999999
5800000000.0,-76.56053,-51.56053
5900000000.0,-76.25605,-51.25605

Promedio,-63.86586101694916,-38.86586101694916
Desviación,14.694648249503947,14.694648249503947
Varianza,215.9326871766494,215.9326871766494
