Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-29.861721,-4.861720999999999
200000000.0,-28.805984,-3.8059839999999987
300000000.0,-29.073555,-4.073554999999999
400000000.0,-29.627295,-4.627295
500000000.0,-29.430489,-4.4304890000000015
600000000.0,-29.426605,-4.426604999999999
700000000.0,-30.122194,-5.122194
800000000.0,-30.348286,-5.348286000000002
900000000.0,-30.867237,-5.867236999999999
1000000000.0,-31.134026,-6.134025999999999
1100000000.0,-31.704918,-6.704917999999999
1200000000.0,-30.840132,-5.8401320000000005
1300000000.0,-29.970715,-4.970714999999998
1400000000.0,-33.706924,-8.706924
1500000000.0,-32.92447,-7.9244699999999995
1600000000.0,-33.629578,-8.629578000000002
1700000000.0,-38.22825,-13.228250000000003
1800000000.0,-42.814312,-17.814312
1900000000.0,-40.045296,-15.045296
2000000000.0,-45.41848,-20.418480000000002
2100000000.0,-59.636417,-34.636417
2200000000.0,-33.01922,-8.019219999999997
2300000000.0,-30.319231,-5.3192309999999985
2400000000.0,-28.399876,-3.399875999999999
2500000000.0,-28.555462,-3.5554619999999986
2600000000.0,-29.460676,-4.460675999999999
2700000000.0,-36.466988,-11.466988
2800000000.0,-71.18104,-46.181039999999996
2900000000.0,-73.69886,-48.698859999999996
3000000000.0,-71.264404,-46.264404
3100000000.0,-67.95577,-42.95577
3200000000.0,-73.611916,-48.611915999999994
3300000000.0,-68.4833,-43.4833
3400000000.0,-61.504944,-36.504944
3500000000.0,-53.9115,-28.911499999999997
3600000000.0,-55.283722,-30.283721999999997
3700000000.0,-59.699074,-34.699074
3800000000.0,-63.71846,-38.71846
3900000000.0,-61.63085,-36.63085
4000000000.0,-63.787308,-38.787308
4100000000.0,-65.74179,-40.741789999999995
4200000000.0,-73.27962,-48.279619999999994
4300000000.0,-76.53928,-51.539280000000005
4400000000.0,-80.80128,-55.801280000000006
4500000000.0,-83.07977,-58.079769999999996
4600000000.0,-79.71894,-54.71894
4700000000.0,-78.82193,-53.821929999999995
4800000000.0,-79.232956,-54.232956
4900000000.0,-83.13854,-58.138540000000006
5000000000.0,-82.603806,-57.603806000000006
5100000000.0,-84.38692,-59.38692
5200000000.0,-81.841995,-56.841995
5300000000.0,-81.33228,-56.33228
5400000000.0,-85.380875,-60.380875
5500000000.0,-85.43788,-60.43788000000001
5600000000.0,-85.982475,-60.982474999999994
5700000000.0,-86.75923,-61.75923
5800000000.0,-86.80016,-61.800160000000005
5900000000.0,-86.419365,-61.419365

Promedio,-55.87912842372882,-30.879128423728815
Desviación,22.285764466483975,22.285764466483975
Varianza,496.6552978555998,496.6552978555998
